kill,abilityPower,armor,attackDamage,attackSpeed,healthMax,lifesteal,magicResist,movementSpeed,powerMax,y
0,0,-8,0,0,41,0,2,0,-46,1
0,0,-14,34,-16,141,0,2,3,-46,1
0,-3,-22,35,-15,143,0,2,14,-24,1
1,-1,-22,34,-12,115,0,4,-3,-38,1
0,-3,-26,49,-32,-60,0,2,-37,-147,1
-2,8,-30,68,-15,-91,0,-1,1,-305,1
-2,9,-19,2,-13,264,0,4,-70,-179,1
-3,9,-30,-4,-28,-30,7,-2,-2,-227,1
-6,0,-60,9,27,-335,6,-3,25,-330,1
-6,-38,-86,-25,-10,-449,6,-3,-301,-317,1
-9,-41,-115,-25,-11,-323,6,-20,-108,-313,1
-10,9,-135,34,-5,-538,5,-49,-131,-302,0
-13,14,-161,39,-47,-677,5,-53,-118,-673,0
-11,-33,-169,-19,6,-659,-1,-51,-501,-842,0
-12,-51,-171,27,-39,-771,7,-52,-161,-841,0
-11,-50,-168,74,-8,-616,7,-50,-458,-755,0
-11,-52,-154,63,-30,-481,14,-72,-254,-991,0
-12,-50,-166,55,-105,-787,13,-77,-328,-1075,0
-16,-31,-188,34,-79,-1228,12,-84,-159,-1258,0
-17,-91,-193,1,-106,-1615,12,-85,-98,-1317,0
-19,-95,-204,6,-117,-1806,12,-90,84,-1488,0
-21,-126,-223,-18,-90,-1819,23,-66,133,-1503,0
-22,-167,-219,-57,-135,-1762,23,-65,-117,-1543,0
-24,-165,-232,-12,-82,-1605,25,-60,-108,-1552,0
-25,-151,-228,-40,-88,-1773,26,-65,105,-1657,0
0,0,-23,0,0,-39,0,3,-35,720,1
0,-10,-29,-19,10,-39,0,11,-10,955,1
0,-14,-29,-19,-51,-43,0,10,-35,974,1
1,-14,-26,-20,2,35,0,11,134,1069,1
-2,-14,-36,-21,-24,-200,0,7,-185,1033,1
-1,31,-31,-12,20,-432,0,7,-106,1037,1
-1,22,-30,-64,117,-426,0,7,199,840,1
-2,12,-36,-62,22,-584,0,4,-3,992,1
-2,24,-41,-79,57,-504,-1,-17,82,1405,1
-4,99,-49,-72,98,-760,-2,-19,-240,1261,1
-2,79,-45,-71,41,-876,-1,-18,-70,1270,1
-4,106,-41,-70,77,-563,5,-15,2,1326,1
-4,108,-59,-76,72,-910,4,-19,-152,1243,1
-4,83,-61,-99,16,-724,4,-28,34,1280,1
-2,125,-65,-107,-24,-667,4,-28,-315,1240,0
-3,75,-86,-156,40,-588,12,-29,5,1217,1
-2,88,-80,-148,25,-363,11,-22,-92,1355,1
-4,108,-78,-143,14,-754,11,-27,46,1520,1
-5,43,-95,-156,-14,-761,11,-29,-136,1467,0
-4,51,-99,-137,-16,-1007,11,-30,-105,1379,0
-6,59,-99,-180,-104,-739,11,-32,386,1115,0
-3,179,-104,-169,-19,-966,11,-32,300,1035,0
-2,157,-49,-192,-30,-981,12,-31,-237,1120,0
-5,167,-39,-202,-65,-1192,13,-30,-227,1076,0
-5,171,-43,-235,10,-1280,6,-31,-260,1034,0
-8,142,-54,-247,-93,-1512,6,-37,62,913,0
-9,142,-33,-285,-23,-1970,6,-39,-290,890,0
-10,142,-23,-268,-134,-2167,-5,-62,-39,892,0
-8,270,-12,-186,13,-2126,-4,-62,159,1147,0
-6,388,16,-84,-165,-1988,-3,-52,-214,1392,0
-7,365,5,-35,-106,-2286,-3,-55,145,1198,0
-3,399,-30,-22,-53,-2179,-7,-80,-92,1177,0
-2,399,-18,-18,-31,-1934,-7,-76,5,1321,0
0,0,-10,0,0,141,0,0,-5,-272,1
0,63,-10,-13,-23,1,0,-8,-5,-272,1
0,83,-10,-12,-22,5,0,-7,120,-207,1
0,63,-10,-11,-34,23,0,-7,-5,-206,1
2,55,-10,-29,-20,26,0,-8,84,59,1
2,89,-7,-9,-41,-80,1,-7,-109,30,1
2,75,-4,7,-38,26,0,-4,80,115,1
3,98,-8,-3,-43,-2,1,-31,47,-251,1
6,145,-4,-11,-41,167,1,-30,285,-214,1
6,165,-18,-14,-96,378,2,-30,185,95,1
5,203,-22,10,-38,450,2,-33,122,117,1
4,210,-33,12,-60,559,1,-75,267,138,1
4,221,-36,-41,-231,492,2,-78,114,171,0
2,130,-4,-48,-86,735,2,-73,-62,157,1
4,298,5,-95,-90,1134,-6,-69,-53,212,1
4,316,8,-88,-107,1033,-5,-68,160,220,1
4,321,18,-125,-98,1194,-5,-64,-125,-4,2
5,267,61,-70,-138,1415,-5,-66,303,358,2
6,346,61,-111,-122,1713,-12,-90,-194,407,2
5,274,-6,-84,-92,1843,-12,-171,78,466,0
6,305,58,-148,-64,1893,-13,-84,-13,480,2
6,305,30,-86,-68,1684,-14,-90,315,417,2
7,434,74,-64,-60,1587,-14,-26,-102,411,2
6,308,-24,-49,-56,1866,-14,-92,-6,387,2
5,308,-35,-58,-33,2116,-14,-89,-230,458,2
7,356,7,-152,-18,2096,-15,-86,-37,458,2
9,363,17,-171,-40,1867,-15,-84,2,512,2
10,347,44,-150,-120,1721,-15,-85,-160,767,2
10,215,32,-178,20,1505,-15,-92,18,628,2
12,446,45,-130,26,2092,-15,-130,142,730,2
13,558,161,-131,3,2699,-15,-18,34,770,2
0,0,-6,0,0,-79,0,4,-25,-595,1
0,11,-12,1,10,-90,0,4,-381,-595,1
0,21,-12,-9,-14,-74,0,4,-30,-623,1
0,11,-15,-7,79,-143,0,3,-42,-777,1
0,9,-7,-7,32,4,0,6,-15,-767,1
0,9,-23,1,-16,-326,0,-1,-182,-892,1
0,10,-12,13,73,-49,0,3,-25,-903,1
-1,-30,-20,-19,49,-207,0,1,-60,-1067,1
-1,-30,-25,-28,3,-516,0,1,-40,-1147,1
-1,-25,-26,-64,-1,-338,0,-1,-45,-1192,1
-1,-33,-18,-60,-9,-225,7,3,-163,-1222,1
-1,7,-37,-52,65,-250,7,0,-35,-1603,1
-1,8,-41,-93,36,-201,14,-3,164,-1690,1
-2,9,-37,-114,49,-108,14,0,-353,-1699,1
-3,-6,-45,-119,43,-318,1,-3,229,-2063,1
-5,-6,-50,-148,64,-764,3,-5,-80,-2162,1
-3,-4,-51,-127,11,-645,1,-6,16,-2222,1
-3,-12,-66,-151,78,-926,1,-24,272,-2152,1
-6,30,-80,-163,95,-1193,1,-9,-33,-2229,0
-5,-8,-127,-236,32,-740,1,-22,-1,-2138,0
-7,-28,-110,-267,21,-1542,22,-9,11,-2324,0
-7,-9,-107,-330,6,-1122,8,-6,74,-2354,0
-9,-139,-165,-387,2,-1237,8,-55,-230,-2453,0
-8,-100,-117,-406,116,-1590,8,-9,927,-2430,1
-8,49,-153,-414,131,-1204,8,-52,2,-2473,0
-8,76,-101,-431,108,-844,8,-5,44,-2378,0
-6,26,-91,-446,32,-632,8,-2,90,-2412,0
-6,107,-153,-400,193,-677,8,-57,-32,-2501,0
-5,109,-117,-500,85,-563,8,-5,34,-2456,0
-5,31,-101,-471,71,-64,8,1,192,-2338,0
-9,-232,-189,-624,-15,-448,8,-69,2,-2611,0
-9,-225,-130,-628,55,-437,8,-10,92,-2611,0
0,0,-7,0,0,-82,0,0,-20,617,1
0,41,5,-29,-13,-195,0,-8,-15,857,1
0,41,5,-9,17,-189,0,-8,36,852,1
0,40,2,-10,-53,-269,0,-11,37,1078,1
3,42,14,-22,23,18,0,-6,-20,1249,1
3,57,14,-10,20,35,0,-6,68,1597,1
5,65,13,35,53,-48,0,-7,151,1607,1
4,68,21,-14,-58,-68,0,-5,13,1726,1
4,144,16,25,62,-169,0,-5,-168,2003,1
5,132,17,26,-62,-236,-1,-6,-22,2154,1
5,142,23,26,-43,-86,-8,-3,-104,2224,1
4,188,14,-5,-70,7,-1,-6,-79,2510,1
5,207,16,38,-67,229,-2,-5,27,2558,1
3,260,10,-4,-71,160,-10,-14,165,2677,1
3,260,3,61,-47,295,-10,-16,500,2677,1
4,326,-14,45,75,365,-18,-17,270,3040,1
5,278,-4,-16,81,413,-11,-15,35,3098,1
9,291,7,57,-38,679,-11,-10,-144,3213,2
10,337,13,93,85,776,-11,-9,-239,3628,2
11,402,8,98,-42,654,-11,-10,72,3628,2
14,429,34,70,83,872,-11,-9,-165,3710,2
18,485,46,79,-37,1119,-12,-4,-16,3831,2
18,417,46,79,-37,1063,-12,-4,-16,3831,2
0,0,3,0,0,-96,0,0,10,-974,1
0,4,-3,19,-23,-93,0,-8,10,-949,1
0,4,0,22,-22,-15,0,-7,10,-888,1
0,5,1,23,-21,2,0,-5,10,-1044,1
1,5,5,14,-28,88,0,-3,-167,-1167,1
1,31,3,86,-16,-97,0,-28,-9,-1385,1
0,39,-9,95,-19,-334,0,-33,121,-1508,1
-1,12,-24,58,-24,-372,-7,-30,-22,-1865,1
-2,28,-27,57,-30,-419,-7,-30,-5,-2106,1
-3,-9,-19,38,11,-83,-7,-25,415,-2098,1
-2,-1,-21,46,7,-136,-7,-25,-118,-2280,1
-2,-21,-23,20,-5,-326,-7,-25,43,-2379,1
-2,40,-10,30,8,64,-7,-20,336,-2379,1
-2,40,5,30,6,159,-7,-7,721,-2489,1
-3,61,12,93,-27,1120,0,-2,334,-2458,1
0,32,-2,64,-14,1213,0,-7,-2,-2778,1
1,12,9,83,8,1449,0,0,-28,-2781,1
1,53,-5,106,-3,1300,-1,-9,-170,-2878,1
1,100,56,96,5,1585,-1,3,16,-2806,2
-1,112,94,69,41,1401,-1,2,-379,-2905,2
0,101,89,51,12,1703,-1,6,152,-2858,2
3,115,150,90,2,1789,-1,9,492,-2924,2
6,180,152,143,23,2150,-1,19,130,-2960,2
8,140,154,177,44,2464,-1,18,191,-2957,2
9,190,169,195,45,2523,-1,22,335,-2903,2
12,190,194,233,43,2528,-1,23,-52,-2963,2
16,206,189,198,48,2820,-1,28,54,-2910,2
0,0,-30,0,0,-66,0,2,10,-861,1
0,27,-18,-16,-7,-161,0,-6,-34,-861,1
0,31,-18,-8,8,-79,0,-6,-66,-889,1
1,27,-19,-11,7,-79,0,-5,-10,-1019,1
2,27,-14,-8,-14,86,0,-2,60,-1077,1
2,67,-24,-3,12,-75,0,-5,-16,-1167,1
2,67,-23,-7,35,7,-7,-2,188,-1254,1
2,82,-28,5,-36,-185,-7,-3,-17,-1403,1
-1,102,-32,18,48,-264,-7,-5,162,-1485,1
-1,82,-27,-24,27,-190,-7,-3,100,-1450,1
-1,67,-64,-32,-18,-437,-8,-32,29,-1452,1
-1,99,-11,-8,-29,-187,-8,-2,10,-1417,1
-1,71,-71,-60,-31,-527,-9,-26,-138,-1597,0
0,139,-42,-86,69,-312,-9,-4,-69,-1526,1
-1,147,-78,-60,9,-262,-9,-36,-28,-1651,0
-4,201,-116,-97,-4,-586,-11,-46,-49,-1753,0
-4,160,-75,-75,65,-611,-11,-8,-51,-1782,0
-1,82,-64,-87,74,-483,-11,-55,-373,-1697,0
-3,60,-81,-76,92,-1104,-11,-59,237,-1869,0
-4,25,-133,-15,34,-1292,-13,-123,95,-1927,0
-5,96,-127,-68,39,-1178,-6,-81,-91,-1932,0
-6,141,-128,-150,146,-1186,-6,-81,-9,-1978,0
-9,80,-140,-35,30,-1282,-6,-84,196,-2092,0
-7,129,-188,-106,32,-1414,-6,-119,-217,-2092,0
-10,128,-249,-106,-1,-1547,-6,-127,-20,-2232,0
-11,194,-250,-302,-2,-1696,-6,-89,-254,-2557,0
-9,206,-314,-166,185,-1578,-6,-126,-180,-2530,0
-8,196,-219,-93,3,-1260,-6,-82,-49,-2640,0
-8,182,-216,-211,-37,-1116,-6,-78,53,-2668,0
-9,-2,-360,-313,115,-1448,-6,-125,-188,-2794,0
